video_id,title,channel_name,tanggal,author,komentar,label,komentar_clean,predicted_label,cleaned,stemmed,tokens,token_count,char_count
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,maryadipradipta,gue rela gak upgrade hp nabung alexis17 .,1,gue rela gak upgrade hp nabung alexis17 .,1,gue rela gak upgrade hp nabung alexisit,gue rela gak upgrade hp nabung alexisit,"['gue', 'rela', 'gak', 'upgrade', 'hp', 'nabung', 'alexisit']",7,41
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,174.539.075.626.269,asepsyamsudin6029,sekarang udah brp ya ya dislike 👎👎👎👎👎👎,0,sekarang udah brp ya ya dislike,0,sekarang udah brp ya ya dislike,sekarang udah brp ya ya dislike,"['sekarang', 'udah', 'brp', 'ya', 'ya', 'dislike']",6,38
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.868.000,ahmadzabidi9626,Keren bngettttt,0,keren bngettttt,0,keren bngettttt,keren bngettttt,"['keren', 'bngettttt']",2,15
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.739.084.742.179.940,akhsansidieq8961,Diatas GD masi ada ASC monster 😅,0,diatas gd masi asc monster,0,diatas gd masi ada asc monster,atas gd mas ada asc monster,"['diatas', 'gd', 'masi', 'ada', 'asc', 'monster']",6,32
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.669.630.980,DANDDEV,Makantuh setengah jam,0,makantuh jam,0,makantuh setengah jam,makantuh tengah jam,"['makantuh', 'setengah', 'jam']",3,21
zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,aarifahmad2316,"pikir , kelewat mikir sampe lupa pu lau tujuh tujuh tujuh !",1,"pikir , kelewat mikir sampe lupa pu lau tujuh tujuh tujuh !",1,pikir kelewat mikir sampe lupa pu lau tujuh tujuh tujuh,pikir lewat mikir sampe lupa pu lau tujuh tujuh tujuh,"['pikir', 'kelewat', 'mikir', 'sampe', 'lupa', 'pu', 'lau', 'tujuh', 'tujuh', 'tujuh']",10,59
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.151.397.450,rahmatkapoll7671,​kocakk emang itu caranya biar komenan judol ga diatas ​ @izurzuhri ,0,​kocakk emang biar komenan judol ga diatas ​,0,kocakk emang itu caranya biar komenan judol ga diatas aizurzuhri,kocakk emang itu cara biar komenan judol ga atas aizurzuhri,"['kocakk', 'emang', 'itu', 'caranya', 'biar', 'komenan', 'judol', 'ga', 'diatas', 'aizurzuhri']",10,68
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.333.298.560,danieljuliusardianto3029,Rasanya seperti mendengar orang berkampanye 😅,0,rasanya seperti mendengar orang berkampanye,0,rasanya seperti mendengar orang berkampanye,rasa seperti dengar orang kampanye,"['rasanya', 'seperti', 'mendengar', 'orang', 'berkampanye']",5,45
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.164.782.798.730,KaneMayberry-m2q,❤ 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ❤,1,𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,weton88,weton88,['weton88'],1,11
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.376.621.334.880,eflfive7329,"dikit2 iphone, lu napa bro xD",0,"dikit2 iphone , lu napa bro xd",0,dikit2 iphone lu napa bro xd,dikit2 iphone lu napa bro xd,"['dikit2', 'iphone', 'lu', 'napa', 'bro', 'xd']",6,29
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.991.954.242.940,setiawan5050,INI SEORANG PRESIDEN 😂😂,0,ini seorang presiden,0,ini seorang presiden,ini orang presiden,"['ini', 'seorang', 'presiden']",3,23
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.405.049.749.110,solidsneak69,"wah nanti jawaban beliau template, ""ya ndak tau kok tanya saya""",0,"wah nanti jawaban beliau template , `` ya ndak tau kok tanya saya ''",0,wah nanti jawaban beliau template ya ndak tau kok tanya saya,wah nanti jawab beliau template ya ndak tau kok tanya saya,"['wah', 'nanti', 'jawaban', 'beliau', 'template', 'ya', 'ndak', 'tau', 'kok', 'tanya', 'saya']",11,63
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.275.260.930,sidikpurnomo5741,"Kesel gue pas kepala babi, malah bahas perang dunia ke 3, blunder",0,"kesel gue pas kepala babi , malah bahas perang dunia ke 3 , blunder",0,kesel gue pas kepala babi malah bahas perang dunia ke e blunder,kesel gue pas kepala babi malah bahas perang dunia ke e blunder,"['kesel', 'gue', 'pas', 'kepala', 'babi', 'malah', 'bahas', 'perang', 'dunia', 'ke', 'e', 'blunder']",12,65
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.412.636.603.540,YamilethTeagan-r7s,Busett cerahh banget 🚩𝐒𝐆𝐈𝟖𝟖🚩 encess sama koinya lagi ngasih mulu,1,busett cerahh banget 𝐒𝐆𝐈𝟖𝟖 encess sama koinya lagi ngasih mulu,1,busett cerahh banget sgi88 encess sama koinya lagi ngasih mulu,busett cerahh banget sgi88 encess sama koinya lagi ngasih mulu,"['busett', 'cerahh', 'banget', 'sgi88', 'encess', 'sama', 'koinya', 'lagi', 'ngasih', 'mulu']",10,64
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,habibijarwa,"bro alexis17 , ngadain giveaway nih , hadiahnya motor sport terbaru",1,"bro alexis17 , ngadain giveaway nih , hadiahnya motor sport terbaru",1,bro alexisit ngadain giveaway nih hadiahnya motor sport terbaru,bro alexisit ngadain giveaway nih hadiah motor sport baru,"['bro', 'alexisit', 'ngadain', 'giveaway', 'nih', 'hadiahnya', 'motor', 'sport', 'terbaru']",9,67
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,ArtificersCcampos-w4m,menang ! 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 bikin hidup !,1,menang ! 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 bikin hidup !,1,menang suhue28 bikin hidup,menang suhue28 bikin hidup,"['menang', 'suhue28', 'bikin', 'hidup']",4,30
n_mFKYFMtWY,"UBUR-UBUR IKAN LELE, INI SAYA JUAL LE !!! Ready Tiga Sasis + Body SR3 Siap Naik Livery.",Bus Pesona,173.986.505.745.564,larchy1324,Pesona ya laksana. Beli jb5 cuma nuruti mania yg koar2 di sosmed,0,pesona ya laksana . beli jb5 nuruti mania yg koar2 sosmed,0,pesona ya laksana beli jbs cuma nuruti mania yg koar2 di sosmed,pesona ya laksana beli jbs cuma nuruti mania yg koar2 di sosmed,"['pesona', 'ya', 'laksana', 'beli', 'jbs', 'cuma', 'nuruti', 'mania', 'yg', 'koar2', 'di', 'sosmed']",12,64
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.405.027.691.400,Fajarelxem,"Baru jepe 2 kali, wede lancar banget",1,"baru jepe 2 kali , wede lancar banget",1,baru jepe 2 kali wede lancar banget,baru jepe 2 kali wede lancar banget,"['baru', 'jepe', '2', 'kali', 'wede', 'lancar', 'banget']",7,36
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,KristalAryanto,"makswin brusan gates , gg banget",1,"makswin brusan gates , gg banget",1,makswin brusan gates gg banget,makswin brusan gates gg banget,"['makswin', 'brusan', 'gates', 'gg', 'banget']",5,32
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,174.525.119.018.419,RudiFirmansyah-k3p,Seru abis! Rasanya gak lengkap sehari tanpa 🔥⚡ALEXIS17⚡?🔥,1,seru abis ! rasanya gak lengkap sehari tanpa alexis17 ?,1,seru abis rasanya gak lengkap sehari tanpa alexisit,seru abis rasa gak lengkap hari tanpa alexisit,"['seru', 'abis', 'rasanya', 'gak', 'lengkap', 'sehari', 'tanpa', 'alexisit']",8,57
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.679.364.740,alexanderHussain-x6e,"𝘈𝐻𝘔𝐀𝐷𝘛𝘖𝑇𝑂 bikin lupa masalah, hiburan yang hakiki!",1,"𝘈𝐻𝘔𝐀𝐷𝘛𝘖𝑇𝑂 bikin lupa , hiburan hakiki !",1,ahmadtoto bikin lupa masalah hiburan yang hakiki,ahmadtoto bikin lupa masalah hibur yang hakiki,"['ahmadtoto', 'bikin', 'lupa', 'masalah', 'hiburan', 'yang', 'hakiki']",7,50
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,LestariSubagio-l7p,emang gak se-terpercaya alexis17 sih .,1,emang gak se-terpercaya alexis17 sih .,1,emang gak se terpercaya alexisit sih,emang gak se percaya alexisit sih,"['emang', 'gak', 'se', 'terpercaya', 'alexisit', 'sih']",6,38
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,AndiSari-v2z,gak pakai proses nya langsung wd,1,gak pakai proses nya langsung wd,1,gak pakai proses nya langsung wd,gak pakai proses nya langsung wd,"['gak', 'pakai', 'proses', 'nya', 'langsung', 'wd']",6,32
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,AlidKc7z,"sungguh ! 𝘿 о r 𝘈 𝟩 7 ketagihan berat , sulit berhenti !",1,"sungguh ! 𝘿 о r 𝘈 𝟩 7 ketagihan berat , sulit berhenti !",1,sungguh d o r a t t ketagihan berat sulit berhenti,sungguh d o r a t t tagih berat sulit henti,"['sungguh', 'd', 'o', 'r', 'a', 't', 't', 'ketagihan', 'berat', 'sulit', 'berhenti']",11,56
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.533.698.810,ALIFRMDN,Semangat garasi drift semoga cepat 3 jt,0,semangat garasi drift semoga cepat 3 jt,0,semangat garasi drift semoga cepat e jt,semangat garasi drift moga cepat e jt,"['semangat', 'garasi', 'drift', 'semoga', 'cepat', 'e', 'jt']",7,39
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.556.107.430,himeey-m2w,Kebanyakan kata LUMAYAN,0,kebanyakan lumayan,0,kebanyakan kata lumayan,banyak kata lumayan,"['kebanyakan', 'kata', 'lumayan']",3,23
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.744.991.981.235.820,reinandaufar2644,aceh donggg,0,aceh donggg,0,aceh donggg,aceh donggg,"['aceh', 'donggg']",2,11
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.394.243.922.540,genz777,Buset 24 menit udah kalah aja mas Panji 🤣,0,buset 24 menit udah kalah aja mas panji,0,buset 2a menit udah kalah aja mas panji,buset 2a menit udah kalah aja mas panji,"['buset', '2a', 'menit', 'udah', 'kalah', 'aja', 'mas', 'panji']",8,41
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.361.751.870,dinikurniaginasari,Astagfirullahaladzim 😢😢,0,astagfirullahaladzim,0,astagfirullahaladzim,astagfirullahaladzim,['astagfirullahaladzim'],1,23
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.323.623.560,MICHEALKlinger,"Bangun tidur ku terus ngeslt, emang paten kali  mandalika77 nih belum apa2 udah maxwin dia, kirain cuma dalam mimpi doang bisa dapat maxwin.",1,"bangun tidur ku ngeslt , emang paten kali mandalika77 nih apa2 udah maxwin , kirain mimpi doang maxwin .",1,bangun tidur ku terus ngeslt emang paten kali mandalikatt nih belum apa2 udah maxwin dia kirain cuma dalam mimpi doang bisa dapat maxwin,bangun tidur ku terus ngeslt emang paten kali mandalikatt nih belum apa2 udah maxwin dia kirain cuma dalam mimpi doang bisa dapat maxwin,"['bangun', 'tidur', 'ku', 'terus', 'ngeslt', 'emang', 'paten', 'kali', 'mandalikatt', 'nih', 'belum', 'apa2', 'udah', 'maxwin', 'dia', 'kirain', 'cuma', 'dalam', 'mimpi', 'doang', 'bisa', 'dapat', 'maxwin']",23,140
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.659.634.260,Sambirotoooo,VELG NYA CAKEPPPPP🤤,0,velg nya cakeppppp,0,velg nya cakeppppp,velg nya cakeppppp,"['velg', 'nya', 'cakeppppp']",3,19
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.774.297.658.310,pasarinternet1,Truck ev blm ada ya,0,truck ev blm ya,0,truck ev blm ada ya,truck ev blm ada ya,"['truck', 'ev', 'blm', 'ada', 'ya']",5,19
5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,MyrticeAndree,dikasi jp pas modal haha makasi𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖,1,dikasi jp pas modal haha makasi𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖,1,dikasi jp pas modal haha makasip l u t o 8 8,kasi jp pas modal haha makasip l u t o 8 8,"['dikasi', 'jp', 'pas', 'modal', 'haha', 'makasip', 'l', 'u', 't', 'o', '8', '8']",12,44
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.397.980.661.100,tubagusalmatz4412,"Baru tau,tapi Barusan gue ikutan dislike 😂",0,"baru tau , tapi barusan gue ikutan dislike",0,baru tau tapi barusan gue ikutan dislike,baru tau tapi barusan gue ikut dislike,"['baru', 'tau', 'tapi', 'barusan', 'gue', 'ikutan', 'dislike']",7,42
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,Nasrudinqgnn,cobain langsung ketagihan puas,1,cobain langsung ketagihan puas,1,cobain langsung ketagihan puas,cobain langsung tagih puas,"['cobain', 'langsung', 'ketagihan', 'puas']",4,30
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.337.584.812.940,JulieNunez-u4d,kebanggaan gua nih kalau di tongkrongan! ⭐ A L E X I S 1 7 ⭐Top markotop,1,kebanggaan gua nih kalau di tongkrongan ! a l e x i s 1 7 top markotop,1,kebanggaan gua nih kalau di tongkrongan a l e x i s i t top markotop,bangga gua nih kalau di tongkrong a l e x i s i t top markotop,"['kebanggaan', 'gua', 'nih', 'kalau', 'di', 'tongkrongan', 'a', 'l', 'e', 'x', 'i', 's', 'i', 't', 'top', 'markotop']",16,72
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.354.258.950,luqmanf,"Ga tau mau komen apa, yg jelas ga ada bobot nya",0,"ga tau mau komen apa , yg jelas ga ada bobot nya",0,ga tau mau komen apa yg jelas ga ada bobot nya,ga tau mau komen apa yg jelas ga ada bobot nya,"['ga', 'tau', 'mau', 'komen', 'apa', 'yg', 'jelas', 'ga', 'ada', 'bobot', 'nya']",11,47
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.394.237.261.350,aninditapurwiranugraha8785,"kocak banget lu Nji, wkwkwkwkwk",0,"kocak banget lu nji , wkwkwkwkwk",0,kocak banget lu nji wkwkwkwkwk,kocak banget lu nji wkwkwkwkwk,"['kocak', 'banget', 'lu', 'nji', 'wkwkwkwkwk']",5,31
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.251.191.636.280,FikriLestari-z9s,Fix gak nyesel! Bangga banget jadi bagian dari 🔥⚡ALEXIS17⚡?🔥,1,fix gak nyesel ! bangga banget jadi bagian dari alexis17 ?,1,fix gak nyesel bangga banget jadi bagian dari alexisit,fix gak nyesel bangga banget jadi bagi dari alexisit,"['fix', 'gak', 'nyesel', 'bangga', 'banget', 'jadi', 'bagian', 'dari', 'alexisit']",9,60
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,RaniPratama-g3u,"sis , ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren . gila .",1,"sis , ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren . gila .",1,sis ngeh kalo alexisit sekeren gila,sis ngeh kalo alexisit keren gila,"['sis', 'ngeh', 'kalo', 'alexisit', 'sekeren', 'gila']",6,41
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.348.305.160,ganzrock,"Nonton SILA dulu, baru saya kesini 😅",0,"nonton sila dulu , baru saya kesini",0,nonton sila dulu baru saya kesini,nonton sila dulu baru saya kesini,"['nonton', 'sila', 'dulu', 'baru', 'saya', 'kesini']",6,36
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,zaqkamuhammad377,"buset tv segede gitu , main pes gawang gawang keliatan kalih",1,"buset tv segede gitu , main pes gawang gawang keliatan kalih",1,buset tv segede gitu main pes gawang gawang keliatan kalih,buset tv gede gitu main pes gawang gawang liat kalih,"['buset', 'tv', 'segede', 'gitu', 'main', 'pes', 'gawang', 'gawang', 'keliatan', 'kalih']",10,60
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.026.485.120,mianufusofficial,"Bang ,coba riview HP Blackview",0,"bang , coba riview hp blackview",0,bang coba riview hp blackview,bang coba riview hp blackview,"['bang', 'coba', 'riview', 'hp', 'blackview']",5,30
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.473.513.084.970,kduty236,Mas Amba kyny lebih tau realita di lapangan,0,mas amba kyny lebih tau realita di lapangan,0,mas amba kyny lebih tau realita di lapangan,mas amba kyny lebih tau realita di lapang,"['mas', 'amba', 'kyny', 'lebih', 'tau', 'realita', 'di', 'lapangan']",8,43
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.161.030.700,werangsoui1316,Salfok di booth airbft 🤣,0,salfok booth airbft,0,salfok di booth airbft,salfok di booth airbft,"['salfok', 'di', 'booth', 'airbft']",4,24
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.409.047.832.840,worldtvprogram,Ada namanya parts namanya flexibel gampang rusak,0,ada namanya parts namanya flexibel gampang rusak,0,ada namanya parts namanya flexibel gampang rusak,ada nama parts nama flexibel gampang rusak,"['ada', 'namanya', 'parts', 'namanya', 'flexibel', 'gampang', 'rusak']",7,48
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,174.540.863.927.445,HendraSari-y7d,Semua orang bilang ALEXIS⭐17⭐ tuh blessing banget!,1,semua orang bilang alexis17 tuh blessing banget !,1,semua orang bilang alexisit tuh blessing banget,semua orang bilang alexisit tuh blessing banget,"['semua', 'orang', 'bilang', 'alexisit', 'tuh', 'blessing', 'banget']",7,50
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.387.004.220.640,nicebagusmurah8047,Udah cukup 😂,0,udah cukup,0,udah cukup,udah cukup,"['udah', 'cukup']",2,12
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.412.202.812.820,rennindritha,Iya lagi!! Lucu banget 😂😂😂😂,0,iya lagi ! ! lucu banget,0,iya lagi lucu banget,iya lagi lucu banget,"['iya', 'lagi', 'lucu', 'banget']",4,27
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,174.542.170.585.217,alifakbar45,Ishowspeed pernah review juga,0,ishowspeed pernah review juga,0,ishowspeed pernah review juga,ishowspeed pernah review juga,"['ishowspeed', 'pernah', 'review', 'juga']",4,29
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.405.185.425.120,rifckyfirmansyah,Nganggur pres wapres,0,nganggur pres wapres,0,nganggur pres wapres,nganggur pres wapres,"['nganggur', 'pres', 'wapres']",3,20
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.877.190,dhinaevalina902,"Belum beli aja, uda seneng banget..
Gimana klo uda munyain..",0,"beli aja , uda seneng banget .. gimana klo uda munyain ..",0,belum beli aja uda seneng banget gimana klo uda munyain,belum beli aja uda neng banget gimana klo uda munyain,"['belum', 'beli', 'aja', 'uda', 'seneng', 'banget', 'gimana', 'klo', 'uda', 'munyain']",10,60
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,Adityajarrett-i3j,keren . gas mari kak weton88,1,keren . gas mari kak weton88,1,keren gas mari kak weton88,keren gas mari kak weton88,"['keren', 'gas', 'mari', 'kak', 'weton88']",5,28
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.163.311.610,japrakofficial7535,"Namanya aja the elite, emg elite. Gaada yg norak kek pasar malem",0,"namanya aja the elite , emg elite . gaada yg norak kek pasar malem",0,namanya aja the elite emg elite gaada yg norak kek pasar malem,nama aja the elite emg elite gaada yg norak kek pasar malem,"['namanya', 'aja', 'the', 'elite', 'emg', 'elite', 'gaada', 'yg', 'norak', 'kek', 'pasar', 'malem']",12,64
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,AnnGarcia-v3i,main alexis17 suaranya,1,main alexis17 suaranya,1,main alexisit suaranya,main alexisit suara,"['main', 'alexisit', 'suaranya']",3,22
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.994.633.293.145,Petrovnurhayati-i5f,"Berkah rezeki hari ini berkat 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,puji syukur!",1,"berkah rezeki berkat 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓 , puji syukur !",1,berkah rezeki hari ini berkat probet8ss puji syukur,berkah rezeki hari ini berkat probet8ss puji syukur,"['berkah', 'rezeki', 'hari', 'ini', 'berkat', 'probet8ss', 'puji', 'syukur']",8,52
