video_id,title,channel_name,tanggal,author,komentar,label,komentar_clean,predicted_label,cleaned,stemmed,tokens,token_count,char_count,text_clean,label_keterangan,predicted_score
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.169.136.250,CathernPerkins,IYA EMG MANTAP BRO P U L A U 7 7 7 LGSG CARI AZ,1,iya emg mantap bro p u l a u 7 7 7 lgsg cari az,1,iya emg mantap bro p u l a u t t t lgsg cari az,iya emg mantap bro p u l a u t t t lgsg cari az,"['iya', 'emg', 'mantap', 'bro', 'p', 'u', 'l', 'a', 'u', 't', 't', 't', 'lgsg', 'cari', 'az']",15.0,47.0,1,,
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,NurulDQl6C,seru banget main 𝘿 𝑂 𝐑 𝐀 𝟽 7 ! gak berasa !,1,seru banget main 𝘿 𝑂 𝐑 𝐀 𝟽 7 ! gak berasa !,1,seru banget main d o r a t t gak berasa,seru banget main d o r a t t gak asa,"['seru', 'banget', 'main', 'd', 'o', 'r', 'a', 't', 't', 'gak', 'berasa']",11.0,43.0,1,,
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,danangmaheswara-r7j,"bro sibuk sih ? alexis17 , bagi-bagi bonus deposit super gede nih",1,"bro sibuk sih ? alexis17 , bagi-bagi bonus deposit super gede nih",1,bro sibuk sih alexisit bagi bagi bonus deposit super gede nih,bro sibuk sih alexisit bagi bagi bonus deposit super gede nih,"['bro', 'sibuk', 'sih', 'alexisit', 'bagi', 'bagi', 'bonus', 'deposit', 'super', 'gede', 'nih']",11.0,65.0,1,,
MkX3K8Vmvas,,tanboy kun,,,sedikit aja,0,,0,,,,,,0,bukan iklan judol,-0.5694181906627367
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.656.935.840,wiwitiksan3400,Ikut spaa tau dpt kaos,0,spaa tau dpt kaos,0,ikut spaa tau dpt kaos,ikut spaa tau dpt kaos,"['ikut', 'spaa', 'tau', 'dpt', 'kaos']",5.0,22.0,0,,
n_mFKYFMtWY,"UBUR-UBUR IKAN LELE, INI SAYA JUAL LE !!! Ready Tiga Sasis + Body SR3 Siap Naik Livery.",Bus Pesona,1.739.951.456.005.760,CoriChu-x7y,Raih kemenangan Anda sekarang juga di Pulau 777!,1,raih kemenangan pulau 777 !,1,raih kemenangan anda sekarang juga di pulau ttt,raih menang anda sekarang juga di pulau ttt,"['raih', 'kemenangan', 'anda', 'sekarang', 'juga', 'di', 'pulau', 'ttt']",8.0,48.0,1,,
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.687.901.816.680,BpughPter-b5b,"Gak nyangka bisa dapat segini dari 𝐀𝘟𝐋7𝟳𝟽, auto traktir sekeluarga!",1,"gak nyangka segini 𝐀𝘟𝐋7𝟳𝟽 , auto traktir sekeluarga !",1,gak nyangka bisa dapat segini dari axlttt auto traktir sekeluarga,gak nyangka bisa dapat gin dari axlttt auto traktir keluarga,"['gak', 'nyangka', 'bisa', 'dapat', 'segini', 'dari', 'axlttt', 'auto', 'traktir', 'sekeluarga']",10.0,67.0,1,,
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.416.219.833.510,shantywong1782,​ @Starprtm intine made in China iPhone   tpi peguna nya gak terima..,0,​ intine made in china iphone tpi peguna nya gak terima ..,0,astarprtm intine made in china iphone tpi peguna nya gak terima,astarprtm intine made in china iphone tpi guna nya gak terima,"['astarprtm', 'intine', 'made', 'in', 'china', 'iphone', 'tpi', 'peguna', 'nya', 'gak', 'terima']",11.0,69.0,0,,
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.419.582.700.080,ahmadkhatib1888,Ketika kerja nya hasil bonus bapak ngomongin bonus demografi,0,ketika kerja nya hasil bonus bapak ngomongin bonus demografi,0,ketika kerja nya hasil bonus bapak ngomongin bonus demografi,ketika kerja nya hasil bonus bapak ngomongin bonus demografi,"['ketika', 'kerja', 'nya', 'hasil', 'bonus', 'bapak', 'ngomongin', 'bonus', 'demografi']",9.0,60.0,0,,
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.336.778.615.670,tamanoa2585,Hidup segan mati dsyukurin,0,hidup segan mati dsyukurin,0,hidup segan mati dsyukurin,hidup segan mati dsyukurin,"['hidup', 'segan', 'mati', 'dsyukurin']",4.0,26.0,0,,
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,abiputrabalijan,"rezeki nggak kemana , makasih alexis17 !",1,"rezeki nggak kemana , makasih alexis17 !",1,rezeki nggak kemana makasih alexisit,rezeki nggak mana makasih alexisit,"['rezeki', 'nggak', 'kemana', 'makasih', 'alexisit']",5.0,40.0,1,,
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.376.203.336.610,sunnysun7064,"Yess buat ahok , anis?? Big NO!!!",0,"yess buat ahok , anis ? ? big no ! ! !",0,yess buat ahok anis big no,yess buat ahok anis big no,"['yess', 'buat', 'ahok', 'anis', 'big', 'no']",6.0,33.0,0,,
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,UriahNye-k9w,𝗪𝗘𝗧𝗢𝗡𝟴𝟴 uhuy !,1,𝗪𝗘𝗧𝗢𝗡𝟴𝟴 uhuy !,1,weton88 uhuy,weton88 uhuy,"['weton88', 'uhuy']",2.0,14.0,1,,
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,NathanielTownsendansen-n7i,gw demen gas 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 wkwkwkww seru . sering2 sih mah,1,gw demen gas 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 wkwkwkww seru . sering2 sih mah,1,gw demen gas weton88 wkwkwkww seru sering2 sih mah,gw demen gas weton88 wkwkwkww seru sering2 sih mah,"['gw', 'demen', 'gas', 'weton88', 'wkwkwkww', 'seru', 'sering2', 'sih', 'mah']",9.0,52.0,1,,
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,viktorsudrajat,gak ngalahin keseruan main alexis17 .,1,gak ngalahin keseruan main alexis17 .,1,gak ngalahin keseruan main alexisit,gak ngalahin seru main alexisit,"['gak', 'ngalahin', 'keseruan', 'main', 'alexisit']",5.0,37.0,1,,
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.251.188.582.530,DaniYuliani-j1m,Gak perlu modal banyak buat sukses di ALEXIS⭐17⭐.,1,gak perlu modal banyak buat sukses di alexis17 .,1,gak perlu modal banyak buat sukses di alexisit,gak perlu modal banyak buat sukses di alexisit,"['gak', 'perlu', 'modal', 'banyak', 'buat', 'sukses', 'di', 'alexisit']",8.0,49.0,1,,
zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,surendrasinghrana9545,jajan ? banget main pu lau tujuh tujuh tujuh .,1,jajan ? banget main pu lau tujuh tujuh tujuh .,1,jajan banget main pu lau tujuh tujuh tujuh,jajan banget main pu lau tujuh tujuh tujuh,"['jajan', 'banget', 'main', 'pu', 'lau', 'tujuh', 'tujuh', 'tujuh']",8.0,46.0,1,,
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.028.951.240,ridwan_tricks,Huawei kepada tim mendang mending : 0:33,0,huawei kepada tim mendang mending : 0:33,0,huawei kepada tim mendang mending o ee,huawei kepada tim dang mending o ee,"['huawei', 'kepada', 'tim', 'mendang', 'mending', 'o', 'ee']",7.0,40.0,0,,
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.544.691.730,CLIFTONArmstrong-u6c,kita-kita barusan ngecuan ＢΟ𝕎Ｏ❼𝟩 juragan gas,1,kita-kita barusan ngecuan ｂο𝕎ｏ❼𝟩 juragan gas,0,kita kita barusan ngecuan bowot juragan gas,kita kita barusan ngecuan bowot juragan gas,"['kita', 'kita', 'barusan', 'ngecuan', 'bowot', 'juragan', 'gas']",7.0,44.0,1,,
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,AndiSari-v2z,keren abis alexis17,1,keren abis alexis17,1,keren abis alexisit,keren abis alexisit,"['keren', 'abis', 'alexisit']",3.0,19.0,1,,
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.372.616.604.550,arridha5412,"anjay, pagi² dapat notif Skakmat Ahok.",0,"anjay , pagi² dapat notif skakmat ahok .",0,anjay pagi2 dapat notif skakmat ahok,anjay pagi2 dapat notif skakmat ahok,"['anjay', 'pagi2', 'dapat', 'notif', 'skakmat', 'ahok']",6.0,38.0,0,,
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.162.341.400,Mr.Tiramisuu,Mobil om fitra kelewat bg,0,mobil om fitra kelewat bg,0,mobil om fitra kelewat bg,mobil om fitra lewat bg,"['mobil', 'om', 'fitra', 'kelewat', 'bg']",5.0,25.0,0,,
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,dariatipermadi-i2r,gue rela begadang sampe pagi alexis17 .,1,gue rela begadang sampe pagi alexis17 .,1,gue rela begadang sampe pagi alexisit,gue rela begadang sampe pagi alexisit,"['gue', 'rela', 'begadang', 'sampe', 'pagi', 'alexisit']",6.0,39.0,1,,
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.550.929.030,DEWAYNEZayas,"Udah WD 5 juta, emang terbaik 𝔭𝔲𝔩𝔞𝔲𝟽𝟽𝟽.",1,"udah wd 5 juta , emang terbaik 𝔭𝔲𝔩𝔞𝔲𝟽𝟽𝟽 .",1,udah wd s juta emang terbaik pulauttt,udah wd s juta emang baik pulauttt,"['udah', 'wd', 's', 'juta', 'emang', 'terbaik', 'pulauttt']",7.0,39.0,1,,
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,NisaAyuningtyas-d9h,"kerjaan numpuk bikin mager , butuh semangat alexis17 .",1,"kerjaan numpuk bikin mager , butuh semangat alexis17 .",1,kerjaan numpuk bikin mager butuh semangat alexisit,kerja numpuk bikin mager butuh semangat alexisit,"['kerjaan', 'numpuk', 'bikin', 'mager', 'butuh', 'semangat', 'alexisit']",7.0,54.0,1,,
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,ToniWahyudi-o4c,udah banget menang 𝘼𝙇𝙀𝙓𝙄𝙎17,1,udah banget menang 𝘼𝙇𝙀𝙓𝙄𝙎17,1,udah banget menang alexisit,udah banget menang alexisit,"['udah', 'banget', 'menang', 'alexisit']",4.0,27.0,1,,
MkX3K8Vmvas,,tanboy kun,,,Bang ke Pemalang cobain grombyang,0,,0,,,,,,0,bukan iklan judol,-1.1665200401418256
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.536.003.730,Riko_Syahputra96,2 jz suara kurang gahar si,0,2 jz suara gahar si,0,2 jz suara kurang gahar si,2 jz suara kurang gahar si,"['2', 'jz', 'suara', 'kurang', 'gahar', 'si']",6.0,26.0,0,,
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.665.957.860,dale_XD,"13:59  US banget ya, ternyata di US pakek SNI juga ta 😂",0,"13:59 us banget ya , us pakek sni ta",0,ie s9 us banget ya ternyata di us pakek sni juga ta,ie s9 us banget ya nyata di us pakek sni juga ta,"['ie', 's9', 'us', 'banget', 'ya', 'ternyata', 'di', 'us', 'pakek', 'sni', 'juga', 'ta']",12.0,55.0,0,,
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,anomtarihoran-m4n,temen kantor gue kepo penghasilan alexis17 .,1,temen kantor gue kepo penghasilan alexis17 .,1,temen kantor gue kepo penghasilan alexisit,temen kantor gue kepo hasil alexisit,"['temen', 'kantor', 'gue', 'kepo', 'penghasilan', 'alexisit']",6.0,44.0,1,,
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,wibisonopranawa,orang bilang alexis17 tuh bener-bener ngubah financial .,1,orang bilang alexis17 tuh bener-bener ngubah financial .,1,orang bilang alexisit tuh bener bener ngubah financial,orang bilang alexisit tuh bener bener ngubah financial,"['orang', 'bilang', 'alexisit', 'tuh', 'bener', 'bener', 'ngubah', 'financial']",8.0,56.0,1,,
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,wisnuirfandi-p8g,"alexis'17 gua coba bentar , saldo langsung 2x lipat",1,"alexis'17 gua coba bentar , saldo langsung 2x lipat",1,alexis it gua coba bentar saldo langsung 2x lipat,alexis it gua coba bentar saldo langsung 2x lipat,"['alexis', 'it', 'gua', 'coba', 'bentar', 'saldo', 'langsung', '2x', 'lipat']",9.0,51.0,1,,
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,173.882.555.493.116,PRESTONThornburg-u2w,"Rezeki gak ada putusnya, makasi ＰⓤＬＡＵ777.",1,"rezeki gak putusnya , makasi ｐⓤｌａｕ777 .",1,rezeki gak ada putusnya makasi pulauttt,rezeki gak ada putus makas pulauttt,"['rezeki', 'gak', 'ada', 'putusnya', 'makasi', 'pulauttt']",6.0,41.0,1,,
pBcSMYRU2Ug,,Sebastian Tedy,,,Bokek rek🫵😭<br><br>Sama rek pas ke Singapore mahal banget makanan indonya,0,,0,,,,,,0,bukan iklan judol,-0.5883061035436639
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.325.640.250,GERRYDudley-k6u,"Saya selalu merasakan keberuntungan di mandalika77 , boleh gabung bro",1,"merasakan keberuntungan mandalika77 , gabung bro",1,saya selalu merasakan keberuntungan di mandalikatt boleh gabung bro,saya selalu rasa untung di mandalikatt boleh gabung bro,"['saya', 'selalu', 'merasakan', 'keberuntungan', 'di', 'mandalikatt', 'boleh', 'gabung', 'bro']",9.0,69.0,1,,
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.540.588.570,kadeksatyawira4697,Nonton sambil ngopi gess,0,nonton ngopi gess,0,nonton sambil ngopi gess,nonton sambil ngopi gess,"['nonton', 'sambil', 'ngopi', 'gess']",4.0,24.0,0,,
zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,dinusit441,𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 sih sebenernya ? segitunya nyebar ?,1,𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 sih sebenernya ? segitunya nyebar ?,1,pulauwin sih sebenernya segitunya nyebar,pulauwin sih sebenernya segitunya nyebar,"['pulauwin', 'sih', 'sebenernya', 'segitunya', 'nyebar']",5.0,44.0,1,,
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,OmarPkt1a,"modal receh , lgsng mekswin gg",1,"modal receh , lgsng mekswin gg",1,modal receh lgsng mekswin gg,modal receh lgsng mekswin gg,"['modal', 'receh', 'lgsng', 'mekswin', 'gg']",5.0,30.0,1,,
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,RaniMaulana-o9i,"sehari main alexis17 , gue langsung ketagihan !",1,"sehari main alexis17 , gue langsung ketagihan !",1,sehari main alexisit gue langsung ketagihan,hari main alexisit gue langsung tagih,"['sehari', 'main', 'alexisit', 'gue', 'langsung', 'ketagihan']",6.0,47.0,1,,
-eV36rVeJQQ,,tanboy kun,,,GA RU DA HO KI꧂Gacorr Parahh,1,,1,,,,,,1,iklan judol,0.0294503237961922
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.549.361.650,Williampatrick__,Brzz asli ganteng banget,0,brzz asli ganteng banget,0,brzz asli ganteng banget,brzz asli ganteng banget,"['brzz', 'asli', 'ganteng', 'banget']",4.0,24.0,0,,
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,mikalaconstance-s8q,"gacir banget , main 𝐒𝐆𝐈𝟖𝟖",1,"gacir banget , main 𝐒𝐆𝐈𝟖𝟖",1,gacir banget main sgi88,gacir banget main sgi88,"['gacir', 'banget', 'main', 'sgi88']",4.0,25.0,1,,
CLHTLViZ8Uc,NYOBAIN WARKOPOLIM GOFAR HILMAN GRIND BOYS‼️ Test Ride Mio Bore Up Injeksi Sekalian Kulineran,Den Dimas,2025-05-02 10:00:32+00:00,DindyalSahani-e3z,"udah coba game , pawpaw4d bikin betah !",1,"udah coba game , pawpaw4d bikin betah !",1,udah coba game pawpawad bikin betah,udah coba game pawpawad bikin betah,"['udah', 'coba', 'game', 'pawpawad', 'bikin', 'betah']",6.0,39.0,1,,
MkX3K8Vmvas,,tanboy kun,,,"Bang jgn jaim dong JD kaga seru mkn nya,itu tulang rangunya dimakan doooong..",0,,0,,,,,,0,bukan iklan judol,-1.3587144806093092
MkX3K8Vmvas,,tanboy kun,,,"Sop jandanya sih calm, tapi rawitnya itu lho… brutal banget 😭 🍉BBCA4D⚡ muncul dulu!",0,,0,,,,,,0,bukan iklan judol,-0.3029237268494913
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.156.152.670,pradanapraditya5196,Ulas full carman nya om fitra eri yg crast d mandalika bro..😊😊😊,0,ulas full carman nya om fitra eri yg crast d mandalika bro ..,0,ulas full carman nya om fitra eri yg crast d mandalika bro,ulas full carman nya om fitra eri yg crast d mandalika bro,"['ulas', 'full', 'carman', 'nya', 'om', 'fitra', 'eri', 'yg', 'crast', 'd', 'mandalika', 'bro']",12.0,63.0,0,,
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.015.085.100,andreasyahrul69,Pada syirik semua 😭😂😂,0,pada syirik semua,0,pada syirik semua,pada syirik semua,"['pada', 'syirik', 'semua']",3.0,21.0,0,,
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.391.041.974.290,alfarodsantos8492,"Cuma 50 jutaan aja , anyiiiiing 💀💀",0,"cuma 50 jutaan aja , anyiiiiing",0,cuma so jutaan aja anyiiiiing,cuma so juta aja anyiiiiing,"['cuma', 'so', 'jutaan', 'aja', 'anyiiiiing']",5.0,34.0,0,,
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.329.821.850,mirzaws1488,Ada jurnalis Tempo gak?,0,ada jurnalis tempo gak ?,0,ada jurnalis tempo gak,ada jurnalis tempo gak,"['ada', 'jurnalis', 'tempo', 'gak']",4.0,23.0,0,,
