video_id,channel_name,komentar,label,komentar_clean,komentar_stage1
ufS5vDKnIhM,Motomobi,"rezeki alexis17 , makasih keberuntungannya !",1,rezeki alexis17 makasih keberuntungannya,"rezeki alexis17 , makasih keberuntungannya !"
nZoNbiwP2ZE,Garasi Drift,Up trending,0,up trending,up trending
rrUoGtfU9kw,Fitra Eri,"ngga ribet , gampang banget dapet tambahan",1,ngga ribet gampang banget dapet tambahan,"ngga ribet , gampang banget dapet tambahan"
-vQDp9fHrzk,Karbida FC,Pt apa ini bang?,0,pt apa ini bang,pt apa ini bang?
aA9G2sW212g,Om Mobi,main bareng temen p͓̽u͓̽l͓̽a͓̽u͓̽w͓̽i͓̽n͓̽ emang seru .,1,main bareng temen pulauwin emang seru,main bareng temen p͓̽u͓̽l͓̽a͓̽u͓̽w͓̽i͓̽n͓̽ emang seru .
gP0YCMCJnjA,Narasi Newsroom,Yang penting Jadi Presiden 🎉,0,yang penting jadi presiden party_popper,yang penting jadi presiden :party_popper:
gP0YCMCJnjA,Narasi Newsroom,"Mantap bang, saya jadi lebih paham ☝🏻",0,mantap bang saya jadi lebih paham menunjuk_ke_atas_warna_kulit_cerah,"mantap bang, saya jadi lebih paham :menunjuk_ke_atas_warna_kulit_cerah:"
ycGdOc17FhA,Fitra Eri,emang gak se-asik alexis17 sih .,1,emang gak se asik alexis17 sih,emang gak se-asik alexis17 sih .
ycGdOc17FhA,Fitra Eri,𝐒𝐆𝐈𝟖𝟖 bikin ketagihan !,1,SGI88 bikin ketagihan,SGI88 bikin ketagihan !
4-hj6CwvKpU,Motomobi,Fix gak nyesel! Setia banget sama ⚡ALEXIS17⚡ sejak awal!,1,fix gak nyesel setia banget sama tegangan_tinggi alexis17 tegangan_tinggi sejak awal,fix gak nyesel! setia banget sama :tegangan_tinggi:alexis17:tegangan_tinggi: sejak awal!
ycGdOc17FhA,Fitra Eri,tunggu tunggu salam jepe 𝐒𝐆𝐈𝟖𝟖,1,tunggu tunggu salam jepe SGI88,tunggu tunggu salam jepe SGI88
nZoNbiwP2ZE,Garasi Drift,Gilaaaaaaaaaaa,0,gilaaaaaaaaaaa,gilaaaaaaaaaaa
-vQDp9fHrzk,Karbida FC,"mandalika77 makasi lah uda ngasih, keren pokoknya mandalika77 pasti sesuai pnya isi nya",1,mandalika77 makasi lah uda ngasih keren pokoknya mandalika77 pasti sesuai pnya isi nya,"mandalika77 makasi lah uda ngasih, keren pokoknya mandalika77 pasti sesuai pnya isi nya"
gP0YCMCJnjA,Narasi Newsroom,Sependapat!,0,sependapat,sependapat!
gP0YCMCJnjA,Narasi Newsroom,Worst president ever?,0,worst president ever,worst president ever?
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,YouTube premium,0,youtube premium,youtube premium
f8UEkmYXlzA,Pandji Pragiwaksono,"Ini pemimpin yg sesungguhnya, sehat2 pak ahok",0,ini pemimpin yg sesungguhnya sehat2 pak ahok,"ini pemimpin yg sesungguhnya, sehat2 pak ahok"
IlkUUwDFCiI,Motomobi,"makasih а𝙀я𝙊𝟾8 , rezeki bikin hati senang banget !",1,makasih aEяO88 rezeki bikin hati senang banget,"makasih aEяO88 , rezeki bikin hati senang banget !"
gRjWM8jPIPw,Fitra Eri,bng coba game zeus x 1000 𝐒𝐆𝐈𝟖𝟖 gampang bet pecah,1,bng coba game zeus x 1000 SGI88 gampang bet pecah,bng coba game zeus x 1000 SGI88 gampang bet pecah
8AzDe6gMOck,Garasi Drift,"jujur , cakep bener livery nya , berasa tamiya rame cakep",0,jujur cakep bener livery nya berasa tamiya rame cakep,"jujur , cakep bener livery nya , berasa tamiya rame cakep"
VXqMJqP7mvk,GadgetIn,"Kirin nya gila, anti panas..... Cuma anget anget doang ..",0,kirin nya gila anti panas cuma anget anget doang,"kirin nya gila, anti panas..... cuma anget anget doang .."
gRjWM8jPIPw,Fitra Eri,epic moment 𝐒𝐆𝐈𝟖𝟖,1,epic moment SGI88,epic moment SGI88
ufS5vDKnIhM,Motomobi,"gue udah coba main jam-jam , alexis17 , emang gacor jam 1 pagi",1,gue udah coba main jam jam alexis17 emang gacor jam 1 pagi,"gue udah coba main jam-jam , alexis17 , emang gacor jam 1 pagi"
ufS5vDKnIhM,Motomobi,"bro sibuk sih ? alexis17 , bagi-bagi bonus deposit super gede nih",1,bro sibuk sih alexis17 bagi bagi bonus deposit super gede nih,"bro sibuk sih ? alexis17 , bagi-bagi bonus deposit super gede nih"
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,Samaa wkwk,0,samaa wkwk,samaa wkwk
hDFN1Sr8a80,Motomobi,yg tunggu2 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,yg tunggu2 WETON88,yg tunggu2 WETON88
nZoNbiwP2ZE,Garasi Drift,Asli GD terbaik... Sukses Terus GD 🔥🔥🔥,0,asli gd terbaik sukses terus gd api api api,asli gd terbaik... sukses terus gd :api::api::api:
nZoNbiwP2ZE,Garasi Drift,😅 yg terpenting kaya,0,wajah_tersenyum_lebar_dan_berkeringat yg terpenting kaya,:wajah_tersenyum_lebar_dan_berkeringat: yg terpenting kaya
wbaneF-1auo,Ridwan Hanif,"suka banget main 𝘋𝙀𝙒𝘈𝘿𝙊𝘙𝐀 , gak nyangka dapet jakpot langsung !",1,suka banget main DEWADORA gak nyangka dapet jakpot langsung,"suka banget main DEWADORA , gak nyangka dapet jakpot langsung !"
aA9G2sW212g,Om Mobi,"gue udah ga bayangin hidup alexis17 ! , udah mata pencaharian",1,gue udah ga bayangin hidup alexis17 udah mata pencaharian,"gue udah ga bayangin hidup alexis17 ! , udah mata pencaharian"
BI_RsNf1HJA,Garasi Drift,Senang banget dapat rezeki tak terduga dari MANDALIKA𝟳7!,1,senang banget dapat rezeki tak terduga dari mandalika77,senang banget dapat rezeki tak terduga dari mandalika77!
QpXcKzQInXg,Garasi Drift,"bg, sesekali cobain drift 180sx gp sports",0,bg sesekali cobain drift 180sx gp sports,"bg, sesekali cobain drift 180sx gp sports"
VXqMJqP7mvk,GadgetIn,cuma bisa menonton 😌,0,cuma bisa menonton wajah_lega,cuma bisa menonton :wajah_lega:
gP0YCMCJnjA,Narasi Newsroom,Plango plongo doang yg ada bikin geregetan pengen sikut biji matanya😂,0,plango plongo doang yg ada bikin geregetan pengen sikut biji matanya wajah_gembira_berurai_air_mata,plango plongo doang yg ada bikin geregetan pengen sikut biji matanya:wajah_gembira_berurai_air_mata:
gP0YCMCJnjA,Narasi Newsroom,Negara kaya harus kuat dalam membrantas korupsi,0,negara kaya harus kuat dalam membrantas korupsi,negara kaya harus kuat dalam membrantas korupsi
J2_Egvu2QII,Ridwan Hanif,Harga Jaecoo J7 mirip sama Zenix,0,harga jaecoo j7 mirip sama zenix,harga jaecoo j7 mirip sama zenix
f8UEkmYXlzA,Pandji Pragiwaksono,Ngakak gua ngab ​ @OvanFebrian-f1f ,0,ngakak gua ngab ​ ovanfebrian f1f,ngakak gua ngab ​ @ovanfebrian-f1f 
nZoNbiwP2ZE,Garasi Drift,Aduuuh perih liatnya.. mobil br jd udh ngantam tembok😢,0,aduuuh perih liatnya mobil br jd udh ngantam tembok wajah_menangis,aduuuh perih liatnya.. mobil br jd udh ngantam tembok:wajah_menangis:
gP0YCMCJnjA,Narasi Newsroom, @maizarindra498  kata buzzer brain rot guys tepuk tangan in dulu dong 👏🏾,0,maizarindra498 kata buzzer brain rot guys tepuk tangan in dulu dong tepuk_tangan_warna_kulit_gelap sedang, @maizarindra498  kata buzzer brain rot guys tepuk tangan in dulu dong :tepuk_tangan_warna_kulit_gelap-sedang:
nZoNbiwP2ZE,Garasi Drift,Kece banget cross track nya,0,kece banget cross track nya,kece banget cross track nya
-vQDp9fHrzk,Karbida FC,detailnya itu loo,0,detailnya itu loo,detailnya itu loo
gP0YCMCJnjA,Narasi Newsroom,"Only one word that i wanna say : ""yakan"" 😌",0,only one word that i wanna say yakan wajah_lega,"only one word that i wanna say : ""yakan"" :wajah_lega:"
ufS5vDKnIhM,Motomobi,"alexis17 , tuh emang ngerti kebutuhan membernya , kasih surprise bonus",1,alexis17 tuh emang ngerti kebutuhan membernya kasih surprise bonus,"alexis17 , tuh emang ngerti kebutuhan membernya , kasih surprise bonus"
-vQDp9fHrzk,Karbida FC,Kemahalan belum pernah main di piala dunia,0,kemahalan belum pernah main di piala dunia,kemahalan belum pernah main di piala dunia
ufS5vDKnIhM,Motomobi,ges doain ya gw coba stop maengaruda-ho ki kecanduan bgt gacor nya gw,1,ges doain ya gw coba stop maengaruda ho ki kecanduan bgt gacor nya gw,ges doain ya gw coba stop maengaruda-ho ki kecanduan bgt gacor nya gw
BI_RsNf1HJA,Garasi Drift,9.40 gasss sih bikin motor ala jejepangan wkwk,0,9 40 gasss sih bikin motor ala jejepangan wkwk,9.40 gasss sih bikin motor ala jejepangan wkwk
ldxzVrtqXFg,Wakil Presiden Republik Indonesia,kenapa dislikenya disembunyikan?😂,0,kenapa dislikenya disembunyikan wajah_gembira_berurai_air_mata,kenapa dislikenya disembunyikan?:wajah_gembira_berurai_air_mata:
gP0YCMCJnjA,Narasi Newsroom,Lah emang dari awal dia memang ga nyambung,0,lah emang dari awal dia memang ga nyambung,lah emang dari awal dia memang ga nyambung
gP0YCMCJnjA,Narasi Newsroom,kmren milih siapa?,0,kmren milih siapa,kmren milih siapa?
4-hj6CwvKpU,Motomobi,yang trusted 0:06 emang ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵═─,1,yang trusted 0 06 emang ─═BERKAH99═─,yang trusted 0:06 emang ─═BERKAH99═─
-vQDp9fHrzk,Karbida FC,2:08 pasti jairo,0,2 08 pasti jairo,2:08 pasti jairo
VXqMJqP7mvk,GadgetIn,"parah , 𝘼𝙇𝙀𝙓𝙄𝙎17 keren banget ! .",1,parah ALEXIS17 keren banget,"parah , ALEXIS17 keren banget ! ."
f8UEkmYXlzA,Pandji Pragiwaksono,Anjir menit 18 harus udah selesai tuh,0,anjir menit 18 harus udah selesai tuh,anjir menit 18 harus udah selesai tuh
